PC1,PC2,cluster
1.2493871727466415,2.3562536748438525,2
1.2735134233937986,1.4713514758942907,0
1.1557710164163315,1.237917514759339,0
1.1199690408599916,1.5514220407247232,2
1.1456935762383778,0.9312310889418034,2
1.1460371194691406,1.4162704906161785,2
1.2893720544842528,1.9549924632723101,0
1.3403708367126397,2.280998217388296,2
1.1136987404223038,1.2249791352824828,2
1.0908363597644757,0.730875558364337,0
1.1321915426388611,1.7878189724840383,2
1.3307953468681875,1.9807421434326558,0
1.4457535023013932,1.6229380893748075,0
1.0960074655421181,1.236588157234746,0
0.9718945135301655,0.20078091280940677,2
1.1918529678336025,1.525054137183461,0
1.2932472515181443,2.0284594090377985,2
1.2211760665878688,1.5420880299929698,0
1.3378614572836847,2.194061836734981,0
1.5209722322787662,3.2120975907063607,2
1.3673781930918714,2.4472543528043498,2
0.9708645780272734,0.8421128906867277,2
1.3782872696193744,1.6959458893475814,0
1.4369877211270432,2.600830422432275,0
1.0817901570884978,0.6499935665799905,2
1.2650441086579094,1.5541251956089752,2
1.0012688216325605,0.18501881233450546,2
1.2570924337226732,1.6613419090504247,2
1.2359175984326682,2.0979289173867937,2
1.1122345728954732,1.536499909340778,2
1.7346050494757483,2.40642080616376,2
1.369021938490407,1.8834879610629465,2
1.1133706354718134,1.5382918266329662,2
1.3829641721045616,2.0688570527471932,0
1.5027723947975302,2.8788365284430086,2
1.0326187508503457,-0.21020651314584854,2
1.4801390005958386,1.463263866287928,2
1.421784541628256,2.06359637202074,0
1.2848645866275596,1.1347939023727753,2
1.2732521453814816,1.8203318957561756,2
1.5994870461326867,3.203753832327102,2
1.192903449213407,1.225517704308066,2
1.29385504539118,1.9217455362900073,2
1.4437305207923532,1.8952282147289392,2
1.0574102082111485,0.7943876683566253,2
1.5754227985710978,2.8595609260846997,2
1.2970943364190044,1.0822877377754576,0
1.3690352518989046,1.762254083742238,2
1.420044393389287,2.1467880638397583,2
1.5552362854353867,3.0116156449398757,2
1.3518552934170733,2.0748405530262866,0
1.4827908911851897,2.1190337967025794,0
1.5090738126035492,2.229307181913049,0
1.2897753338797682,1.9547724274622813,2
1.3474367311401176,2.044452773872515,2
1.3044561444050464,2.0942834789894595,2
1.3090075874635247,2.0638270675328014,2
1.3995672393476752,2.2395124776069113,2
